task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
38	6c/1cf4b6	8005783	SCATACPIPE:PREPROCESS_CHROMAP:CHROMAP_ATAC (6)	CACHED	0	2022-06-15 18:52:34.473	53m 4s	52m 35s	302.8%	27.6 GB	90.2 GB	72.9 GB	33.1 GB
39	93/7764c7	8005782	SCATACPIPE:PREPROCESS_CHROMAP:CHROMAP_ATAC (4)	CACHED	0	2022-06-15 18:52:34.391	27m 59s	27m 54s	300.0%	20 GB	134.7 GB	45.9 GB	17.1 GB
37	f9/97b12d	8005781	SCATACPIPE:PREPROCESS_CHROMAP:CHROMAP_ATAC (5)	CACHED	0	2022-06-15 18:52:34.160	7m 45s	7m 2s	272.4%	19.6 GB	80.8 GB	20.1 GB	3.7 GB
36	fd/cba452	8005784	SCATACPIPE:PREPROCESS_CHROMAP:CHROMAP_ATAC (2)	CACHED	0	2022-06-15 18:52:34.573	51m 59s	51m 46s	306.3%	26.9 GB	58 GB	71.1 GB	31.7 GB
40	44/1a4cd6	8005785	SCATACPIPE:PREPROCESS_CHROMAP:CHROMAP_ATAC (3)	CACHED	0	2022-06-15 18:52:34.660	27m 44s	27m 30s	305.2%	19.9 GB	68.2 GB	44.2 GB	16.6 GB
43	33/8a61f3	8005867	SCATACPIPE:PREPROCESS_CHROMAP:FRAG_TO_FREQ (2)	CACHED	0	2022-06-15 19:00:18.835	34.9s	25.1s	99.4%	38.7 MB	72.2 MB	199.5 MB	6.3 MB
47	26/9fbe09	8005872	SCATACPIPE:PREPROCESS_CHROMAP:GET_VALID_BARCODE_CHROMAP (2)	CACHED	0	2022-06-15 19:00:53.859	34.8s	13.6s	98.3%	234.2 MB	501 MB	66.1 MB	50.5 MB
48	4b/2758e9	8005879	SCATACPIPE:PREPROCESS_CHROMAP:FILTER_CELL_CHROMAP (2)	CACHED	0	2022-06-15 19:01:28.825	34.9s	26s	154.2%	11.4 MB	57.2 MB	977.2 MB	966.4 MB
49	10/12f948	8005881	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_FRAGMENT (2)	CACHED	0	2022-06-15 19:02:03.817	2m 40s	1m 52s	110.1%	10 MB	52.5 MB	3.7 GB	3.7 GB
42	24/4eeb30	8005960	SCATACPIPE:PREPROCESS_CHROMAP:FRAG_TO_FREQ (5)	CACHED	0	2022-06-15 19:44:34.059	5m 10s	4m 11s	99.1%	157.8 MB	191.7 MB	1.9 GB	14.2 MB
50	2b/cf5a82	8006422	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CREATE_ARROWFILES_ANNOTATION (5)	CACHED	0	2022-06-16 01:16:15.317	27m 37s	26m 49s	98.7%	1.7 GB	2.7 GB	2.4 GB	911.6 MB
46	97/c36621	8005854	SCATACPIPE:PREPROCESS_CHROMAP:FRAG_TO_FREQ (1)	CACHED	0	2022-06-15 18:57:28.841	34.9s	14.7s	92.3%	38.1 MB	71.7 MB	102.8 MB	5.1 MB
41	8d/0c6c9b	8005898	SCATACPIPE:PREPROCESS_CHROMAP:FRAG_TO_FREQ (3)	CACHED	0	2022-06-15 19:20:19.009	2m 10s	2m 1s	99.5%	67 MB	100.7 MB	954 MB	11.2 MB
44	e7/f8460a	8005899	SCATACPIPE:PREPROCESS_CHROMAP:FRAG_TO_FREQ (4)	CACHED	0	2022-06-15 19:20:33.862	2m 10s	2m 1s	99.8%	70.2 MB	103.7 MB	975.2 MB	12.1 MB
45	33/8c3251	8005962	SCATACPIPE:PREPROCESS_CHROMAP:FRAG_TO_FREQ (6)	CACHED	0	2022-06-15 19:45:38.908	4m 40s	4m 8s	99.8%	77 MB	110.4 MB	1.9 GB	13.9 MB
53	62/bcd513	8005901	SCATACPIPE:PREPROCESS_CHROMAP:GET_VALID_BARCODE_CHROMAP (4)	CACHED	0	2022-06-15 19:22:43.845	34.9s	25.4s	99.0%	383.2 MB	652.8 MB	112.1 MB	95.6 MB
