task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
124	41/215577	8041976	SCATACPIPE:PREPROCESS_DEFAULT:COMBINE_BAM2 (2)	CACHED	0	2022-06-17 18:37:17.382	10m 34s	10m 15s	98.3%	911.2 MB	1 GB	8.9 GB	8.5 GB
122	3a/b0d008	8041975	SCATACPIPE:PREPROCESS_DEFAULT:COMBINE_BAM2 (5)	CACHED	0	2022-06-17 18:37:17.067	1h 7m 14s	1h 7m 7s	98.5%	911.8 MB	1 GB	58.7 GB	57.3 GB
129	cf/0d7432	8042203	SCATACPIPE:PREPROCESS_DEFAULT:DEDUP_BAM2 (4)	CACHED	0	2022-06-17 19:20:21.542	47m 25s	46m 59s	790.2%	67.3 GB	80 GB	47.6 GB	24.9 GB
127	c8/6ef7b3	8042145	SCATACPIPE:PREPROCESS_DEFAULT:DEDUP_BAM2 (2)	CACHED	0	2022-06-17 18:47:51.574	38m 50s	38m 8s	701.8%	15.8 GB	62.2 GB	10.4 GB	4.9 GB
125	e7/c38414	8042267	SCATACPIPE:PREPROCESS_DEFAULT:DEDUP_BAM2 (6)	CACHED	0	2022-06-17 19:56:21.676	1h 18m 40s	1h 18m 32s	798.3%	90.5 GB	98.2 GB	97.7 GB	56.2 GB
126	c4/d95322	8042228	SCATACPIPE:PREPROCESS_DEFAULT:DEDUP_BAM2 (5)	CACHED	0	2022-06-17 19:44:31.589	1h 9m 15s	1h 8m 27s	795.2%	80.1 GB	88 GB	89.2 GB	51.9 GB
128	53/01208a	8042142	SCATACPIPE:PREPROCESS_DEFAULT:DEDUP_BAM2 (1)	CACHED	0	2022-06-17 18:43:36.549	25m 40s	25m 14s	633.7%	8.9 GB	60.4 GB	5.7 GB	2.4 GB
130	d0/95f5aa	8042202	SCATACPIPE:PREPROCESS_DEFAULT:DEDUP_BAM2 (3)	CACHED	0	2022-06-17 19:19:01.567	47m 45s	47m 32s	768.7%	67.1 GB	80.5 GB	46 GB	23.2 GB
134	a9/fb11d0	8042198	SCATACPIPE:PREPROCESS_DEFAULT:QUALIMAP (1)	CACHED	0	2022-06-17 19:09:22.024	1m 9s	55s	341.3%	3.4 GB	11.8 GB	865.7 MB	801.5 KB
131	1b/b8fcc9	8042208	SCATACPIPE:PREPROCESS_DEFAULT:QUALIMAP (2)	CACHED	0	2022-06-17 19:26:41.807	2m 10s	1m 42s	373.2%	3.4 GB	11.8 GB	1.7 GB	807 KB
135	a8/d0eb27	8042276	SCATACPIPE:PREPROCESS_DEFAULT:QUALIMAP (4)	CACHED	0	2022-06-17 20:07:46.630	9m 20s	8m 55s	476.1%	5.1 GB	11.8 GB	7.4 GB	861 KB
133	47/2ca4b4	8042304	SCATACPIPE:PREPROCESS_DEFAULT:QUALIMAP (5)	CACHED	0	2022-06-17 20:53:46.684	18m 10s	17m 39s	509.3%	7.1 GB	11.8 GB	13.8 GB	880.2 KB
132	1e/408c52	8042309	SCATACPIPE:PREPROCESS_DEFAULT:QUALIMAP (6)	CACHED	0	2022-06-17 21:15:01.809	19m 5s	18m 51s	513.0%	7 GB	11.8 GB	14.8 GB	869.6 KB
136	a6/74954d	8042275	SCATACPIPE:PREPROCESS_DEFAULT:QUALIMAP (3)	CACHED	0	2022-06-17 20:06:46.760	9m 15s	8m 38s	452.8%	5.3 GB	11.8 GB	7.3 GB	875.7 KB
138	15/28307c	8042207	SCATACPIPE:PREPROCESS_DEFAULT:GET_FRAGMENTS (2)	CACHED	0	2022-06-17 19:26:41.684	3m 10s	2m 39s	454.4%	3.9 GB	93.1 GB	5.9 GB	2.3 GB
142	1d/550c19	8042277	SCATACPIPE:PREPROCESS_DEFAULT:GET_FRAGMENTS (4)	CACHED	0	2022-06-17 20:07:46.766	15m 30s	14m 52s	381.3%	12.8 GB	114 GB	24.8 GB	10.4 GB
140	36/c2b029	8042305	SCATACPIPE:PREPROCESS_DEFAULT:GET_FRAGMENTS (5)	CACHED	0	2022-06-17 20:53:46.840	28m	27m 32s	384.1%	23.2 GB	141.1 GB	45.6 GB	18.8 GB
137	eb/f4f42a	8042308	SCATACPIPE:PREPROCESS_DEFAULT:GET_FRAGMENTS (6)	CACHED	0	2022-06-17 21:15:01.694	32m 15s	31m 40s	374.4%	24.7 GB	117 GB	49.5 GB	20.7 GB
139	9b/221409	8042274	SCATACPIPE:PREPROCESS_DEFAULT:GET_FRAGMENTS (3)	CACHED	0	2022-06-17 20:06:46.631	16m	15m 27s	378.6%	12.3 GB	141.1 GB	24.4 GB	10 GB
144	6b/2d9375	8042282	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_FRAGMENT (4)	CACHED	0	2022-06-17 20:23:16.632	7m 55s	7m 41s	111.6%	10 MB	52.5 MB	14 GB	14 GB
141	cd/c67bf2	8042197	SCATACPIPE:PREPROCESS_DEFAULT:GET_FRAGMENTS (1)	CACHED	0	2022-06-17 19:09:16.553	2m 10s	1m 27s	419.8%	3.7 GB	46.8 GB	3.2 GB	1.2 GB
